mouse_id,pre_stim,stim_to_outcome,outcome_to_end
1,0.6461916461916462,0.7518427518427518,0.7542997542997543
2,0.5458823529411765,0.7223529411764706,0.5964705882352941
3,0.6194503171247357,0.7230443974630021,0.7632135306553911
4,0.5603960396039604,0.7702970297029703,0.6653465346534654
5,0.6264775413711584,0.6572104018912529,0.7423167848699763
6,0.6072186836518046,0.49469214437367304,0.6390658174097664
7,0.5790598290598291,0.5876068376068376,0.6837606837606838
8,0.595166163141994,0.7341389728096677,0.797583081570997
9,0.5731922398589065,0.5061728395061729,0.708994708994709
10,0.5362537764350453,0.7311178247734139,0.7371601208459214
11,0.5959438377535101,0.6801872074882995,0.6692667706708268
12,0.5986238532110092,0.6628440366972477,0.6467889908256881
13,0.6024518388791593,0.6024518388791593,0.7355516637478109
14,0.6135458167330677,0.4123505976095618,0.6414342629482072
15,0.6506550218340611,0.314410480349345,0.6244541484716157
16,0.5603864734299517,0.5555555555555556,0.6505636070853462
17,0.6149193548387096,0.6270161290322581,0.7943548387096774
18,0.5601926163723917,0.8154093097913323,0.6645264847512039
